,Ward/VillageTract,tot_pop,male_pop,female_pop,Township,Longitude,Latitude
5358,ShawChaung(VT),6949.0,3569.0,3380.0,Labutta Township,94.99337935447693,16.124453902244568
5359,NyaungChaung(VT),4182.0,2008.0,2174.0,Labutta Township,94.97835063934326,16.197097539901737
5360,KaKaYan(VT),6064.0,3017.0,3047.0,Labutta Township,95.02497725053267,16.23523296009411
5361,KyeeChaung(VT),4267.0,2141.0,2126.0,Labutta Township,95.04561360677083,16.278065045674634
5362,TatKwin(VT),786.0,390.0,396.0,Labutta Township,95.09332529703777,16.291366577148434
5363,KyarKan(VT),3875.0,1834.0,2041.0,Labutta Township,94.87479591369629,16.298860073089603
5364,TuMyaung(VT),6241.0,3103.0,3138.0,Labutta Township,94.6934967041016,16.3482799530029
5365,YaeSaing(VT),8943.0,4546.0,4397.0,Labutta Township,94.8073170979818,16.343584855397523
5366,KaThaPaung(VT),3510.0,1780.0,1730.0,Labutta Township,94.86408996582031,16.284300231933578
5367,KyaukTanGyi(VT),5499.0,2694.0,2805.0,Labutta Township,94.68975639343263,16.25143241882325
5368,KyaukTanKaLay(VT),1358.0,698.0,660.0,Labutta Township,94.6752624511719,16.2261009216309
5369,NyanKwin(VT),1578.0,789.0,789.0,Labutta Township,94.91698455810547,16.371557712554953
5370,PanToneKwin(VT),1956.0,972.0,984.0,Labutta Township,94.8830738067627,16.3828501701355
5371,BarTharKone(VT),656.0,328.0,328.0,Labutta Township,94.95352935791016,16.372966766357397
5372,MinBuSu(VT),2559.0,1296.0,1263.0,Labutta Township,94.94145202636717,16.355902671814
5373,MwayHauk(VT),3667.0,1847.0,1820.0,Labutta Township,94.7706069946289,16.2777404785156
5374,LaPutPyayLePyauk(VT),2240.0,1103.0,1137.0,Labutta Township,94.92170333862303,16.330120086669897
5375,ThaYetKoneLePyauk(VT),2272.0,1105.0,1167.0,Labutta Township,94.90336100260417,16.3457997639974
5376,TharLiKarKone(VT),1132.0,577.0,555.0,Labutta Township,94.8789978027344,16.3199996948242
