pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,light_total,electricity,kerosene,candle,lbattery,generator,water,solar,other
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,22058,953,80,3253,9635,5231,40,1610,1256
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,22591,3551,614,2587,3570,6047,1799,4202,221
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,10345,1258,82,1547,3734,1678,28,1651,367
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,20246,1757,381,4072,7002,3828,43,2323,840
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,7361,1603,22,2810,400,979,72,1202,273
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,35743,3671,266,18029,2670,6443,70,4025,569
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,316,20,887,134,25,1,387,196
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,346,67,1799,521,225,505,2210,3259
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,328,111,3309,305,53,211,2262,1261
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,4131,35,1241,13304,4508,43,3635,2635
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,12009,64,1041,8419,1200,20,1752,1962
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,6194,32,3429,12668,2574,16,4133,3316
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,1722,83,3353,9990,7355,50,3760,2910
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,1271,2842,3472,286,18910,320,1246,786
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,1993,3909,4984,157,14131,256,267,38
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,552,6450,3301,214,11128,124,1072,33
