Longitude,Latitude,Ward/VillageTract,total_population,male_population,female_population,Township
95.216843,19.358553,ZayKone(W),3266,1570,1696,Aunglan Township
95.216843,19.358553,ThaYetTaw(W),2844,1294,1550,Aunglan Township
95.216843,19.358553,KanGyi(W),1761,785,976,Aunglan Township
95.216843,19.358553,ZayYaWaDi(W),5793,2717,3076,Aunglan Township
95.216843,19.358553,TaYawKone(W),5299,2413,2886,Aunglan Township
95.216843,19.358553,SanChaung(W),7728,3752,3976,Aunglan Township
95.216843,19.358553,SetYon(W),10963,5121,5842,Aunglan Township
96.53019,24.991825,MyaThiDar(W),5887,2744,3143,Mohnyin Township
96.53019,24.991825,MyaZayYar(W),6348,2838,3510,Mohnyin Township
96.53019,24.991825,MyoMa(South)(W),5297,2462,2835,Mohnyin Township
96.53019,24.991825,MyoMa(North)(W),5820,2698,3122,Mohnyin Township
95.082268,21.335001,No(1)(W),6758,3377,3381,Pakokku Township
94.81558,21.38358,No(1)(W),6758,3377,3381,Pakokku Township
95.241655,21.633454,No(1)(W),6758,3377,3381,Yesagyo Township
94.854317,21.61256,No(1)(W),6758,3377,3381,Myaing Township
95.082268,21.335001,No(1)(W),4379,1981,2398,Pakokku Township
94.81558,21.38358,No(1)(W),4379,1981,2398,Pakokku Township
95.241655,21.633454,No(1)(W),4379,1981,2398,Yesagyo Township
94.854317,21.61256,No(1)(W),4379,1981,2398,Myaing Township
95.082268,21.335001,No(1)(W),2846,1268,1578,Pakokku Township
94.81558,21.38358,No(1)(W),2846,1268,1578,Pakokku Township
95.241655,21.633454,No(1)(W),2846,1268,1578,Yesagyo Township
94.854317,21.61256,No(1)(W),2846,1268,1578,Myaing Township
95.082268,21.335001,No(2)(W),3372,1407,1965,Pakokku Township
94.81558,21.38358,No(2)(W),3372,1407,1965,Pakokku Township
95.241655,21.633454,No(2)(W),3372,1407,1965,Yesagyo Township
94.854317,21.61256,No(2)(W),3372,1407,1965,Myaing Township
95.082268,21.335001,No(2)(W),3142,1426,1716,Pakokku Township
94.81558,21.38358,No(2)(W),3142,1426,1716,Pakokku Township
95.241655,21.633454,No(2)(W),3142,1426,1716,Yesagyo Township
94.854317,21.61256,No(2)(W),3142,1426,1716,Myaing Township
95.082268,21.335001,No(2)(W),1770,812,958,Pakokku Township
94.81558,21.38358,No(2)(W),1770,812,958,Pakokku Township
95.241655,21.633454,No(2)(W),1770,812,958,Yesagyo Township
94.854317,21.61256,No(2)(W),1770,812,958,Myaing Township
95.082268,21.335001,No(3)(W),12515,5367,7148,Pakokku Township
94.81558,21.38358,No(3)(W),12515,5367,7148,Pakokku Township
95.241655,21.633454,No(3)(W),12515,5367,7148,Yesagyo Township
